#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
c4d_140911_092216_ooi_z_v1.fits.fz    z    4    15    c4d_140911_092216_oow_z_v1.fits.fz    30.50     0.0    56911.388739    100.0    60
c4d_140911_092421_ooi_z_v1.fits.fz    z    4    16    c4d_140911_092421_oow_z_v1.fits.fz    30.26     0.0    56911.390206    100.0    60
c4d_140911_092633_ooi_z_v1.fits.fz    z    4    17    c4d_140911_092633_oow_z_v1.fits.fz    30.38     0.0    56911.391707    100.0    60
c4d_140911_092840_ooi_z_v1.fits.fz    z    4    18    c4d_140911_092840_oow_z_v1.fits.fz    30.41     0.0    56911.393183    100.0    60
c4d_140911_093049_ooi_z_v1.fits.fz    z    4    19    c4d_140911_093049_oow_z_v1.fits.fz    30.40     0.0    56911.394658    100.0    60
c4d_140911_093258_ooi_z_v1.fits.fz    z    4    20    c4d_140911_093258_oow_z_v1.fits.fz    30.38     0.0    56911.396153    100.0    60
c4d_140911_093504_ooi_z_v1.fits.fz    z    4    21    c4d_140911_093504_oow_z_v1.fits.fz    30.18     0.0    56911.397648    100.0    60
c4d_140911_093715_ooi_z_v1.fits.fz    z    4    22    c4d_140911_093715_oow_z_v1.fits.fz    30.18     0.0    56911.399127    100.0    60
c4d_140911_093923_ooi_z_v1.fits.fz    z    4    23    c4d_140911_093923_oow_z_v1.fits.fz    30.12     0.0    56911.400622    100.0    60
c4d_140911_094132_ooi_z_v1.fits.fz    z    4    24    c4d_140911_094132_oow_z_v1.fits.fz    30.11     0.0    56911.402106    100.0    60
c4d_140911_094340_ooi_z_v1.fits.fz    z    4    25    c4d_140911_094340_oow_z_v1.fits.fz    29.89     0.0    56911.403582    100.0    60
c4d_140911_094547_ooi_z_v1.fits.fz    z    4    26    c4d_140911_094547_oow_z_v1.fits.fz    29.93     0.0    56911.405065    100.0    60
c4d_140911_094755_ooi_z_v1.fits.fz    z    4    27    c4d_140911_094755_oow_z_v1.fits.fz    29.72     0.0    56911.406539    100.0    60
c4d_140911_095002_ooi_z_v1.fits.fz    z    4    28    c4d_140911_095002_oow_z_v1.fits.fz    29.77     0.0    56911.408015    100.0    60
c4d_140911_095211_ooi_z_v1.fits.fz    z    4    29    c4d_140911_095211_oow_z_v1.fits.fz    29.83     0.0    56911.409500    100.0    60
c4d_140911_095417_ooi_z_v1.fits.fz    z    4    30    c4d_140911_095417_oow_z_v1.fits.fz    29.72     0.0    56911.410975    100.0    60
